match_id,team_name,team_id,account_id,match_date,competition,season,match_week,competition_stage,home_team,away_team,np_xg,np_shots,obv_shot,xgchain,goals,Goal Envolvement Index (norm),Goal Conversion Index (norm),Possession GoalChance Index (norm),Goal Performance Index,match_score
3980931,Everton,1919,7336,2025-03-28,Chile - Primera División,2025,6,Regular Season,Everton,Universidad de Chile,0.6617385486,11.0,0.4048059066,2.64791402,2.0,1.6780642299444954,4.488359450041483,2.7966845043753845,6.244755707765361,Everton(2) - Universidad de Chile(0)
3980931,Universidad de Chile,1917,7336,2025-03-28,Chile - Primera División,2025,6,Regular Season,Everton,Universidad de Chile,1.257098545,22.0,-0.877078876,7.077623111,0.0,6.055695017536815,0.9405583801803787,6.243956003920816,6.672369449606714,Everton(2) - Universidad de Chile(0)
3980932,Universidad Católica,1924,7336,2025-03-28,Chile - Primera División,2025,6,Regular Season,Unión Española,Universidad Católica,0.622823279,8.0,0.8658248339999999,4.62127188,2.0,2.625560437727234,6.439071602926353,2.0372883271623414,7.308113703228944,Unión Española(1) - Universidad Católica(2)
3980932,Unión Española,1921,7336,2025-03-28,Chile - Primera División,2025,6,Regular Season,Unión Española,Universidad Católica,0.706311903,6.0,-0.04390787650000001,3.731984033,1.0,3.1479958727551,5.499762774328262,2.1931087228229655,7.06096184719878,Unión Española(1) - Universidad Católica(2)
3980933,Deportes Iquique,1864,7336,2025-03-28,Chile - Primera División,2025,6,Regular Season,Deportivo Ñublense SADP,Deportes Iquique,2.233715179,14.0,-0.9784431280000001,10.42046639,1.0,3.8036753935941157,3.5926448154378368,5.5531487621466,7.072023723636402,Deportivo Ñublense SADP(1) - Deportes Iquique(1)
3980933,Deportivo Ñublense SADP,5102,7336,2025-03-28,Chile - Primera División,2025,6,Regular Season,Deportivo Ñublense SADP,Deportes Iquique,1.33764509,21.0,-0.1280967645,6.001690526,1.0,4.352120548065807,1.6801142513921774,5.865801867901558,6.405103106448983,Deportivo Ñublense SADP(1) - Deportes Iquique(1)
3980934,Cobresal,1926,7336,2025-03-30,Chile - Primera División,2025,6,Regular Season,Unión La Calera,Cobresal,1.225660432,12.0,-0.558973148,7.6660440104,1.0,3.5596583447505727,2.576017480251665,5.485697596692336,6.499205146186198,Unión La Calera(2) - Cobresal(1)
3980934,Unión La Calera,1954,7336,2025-03-30,Chile - Primera División,2025,6,Regular Season,Unión La Calera,Cobresal,0.578886746,9.0,-0.210615486,3.923156162,2.0,3.537449986551912,4.667579542077404,2.1978327432522535,6.7907498300535325,Unión La Calera(2) - Cobresal(1)
3980935,Huachipato,1915,7336,2025-03-30,Chile - Primera División,2025,6,Regular Season,Huachipato,La Serena,1.124176721,10.0,0.439043453,6.006786424,3.0,4.513506720957739,5.86577624653491,4.229585859816473,8.094282630727712,Huachipato(3) - La Serena(1)
3980935,La Serena,1920,7336,2025-03-30,Chile - Primera División,2025,6,Regular Season,Huachipato,La Serena,0.298355266,9.0,-0.090287014,1.373403279,1.0,1.8946482740240738,3.2167888733790972,0.9669087209012404,5.325611809903226,Huachipato(3) - La Serena(1)
3980936,Deportes Limache,30140,7336,2025-03-29,Chile - Primera División,2025,6,Regular Season,O'Higgins,Deportes Limache,2.616098467,25.0,-0.813441885,12.90657765,1.0,5.677790062762195,3.1726037883049547,6.992772403494087,7.767961267647059,O'Higgins(3) - Deportes Limache(1)
